max,min,
0.011657235, 0.011657235,
0.011987748, 0.011987748,
0.0123884445, 0.012308328,
0.012720128, 0.012720128,
0.013127337, 0.013127337,
0.013563856, 0.013531129,
0.014046419, 0.013971936,
0.014548602, 0.014474551,
0.015095675, 0.015017801,
0.015692111, 0.015621474,
0.016373517, 0.016304746,
0.01708672, 0.01707357,
0.017998528, 0.017931005,
0.018990373, 0.018949855,
0.020243429, 0.020168593,
0.021809965, 0.021687716,
0.023946736, 0.023635864,
0.027298026, 0.0265083,
0.034584302, 0.029544733,
5.851858, 0.008422339,
1.9192183, 0.00087159657,
1.9431309, 0.0038222421,
1.9607953, 0.0006287213,
1.9750154, 0.0048035067,
1.9866434, 0.00011619509,
1.9977914, 0.0017279853,
2.008383, 0.0013520024,
2.0170407, 0.0008869192,
2.025545, 0.004825388,
2.033943, 0.0017252499,
2.0416071, 0.00072174036,
2.0492668, 0.00041130808,
2.0569487, 0.000105096566,
2.063099, 3.0174806e-5,
2.0704906, 0.00010191551,
2.0762887, 0.00034288503,
2.083316, 0.0015497763,
2.0893261, 0.00036678588,
2.095038, 0.0006994875,
2.100556, 9.7627315e-5,
2.106254, 0.0018882288,
2.109051, 0.0005366711,
2.1173563, 0.0016684522,
2.1228778, 0.001754017,
2.1283665, 0.0020637005,
2.1338155, 0.0014892563,
2.1393628, 0.00082083413,
2.1445668, 0.0021586204,
2.1488311, 0.00031011473,
2.1541858, 0.00018327951,
2.1595583, 7.2416944e-5,
2.1642025, 0.0010463624,
2.168968, 0.00042996643,
2.1744974, 0.0014124478,
2.178038, 0.004832742,
2.183307, 0.005314517,
2.1882322, 0.0015186738,
2.1932507, 0.00085357396,
2.1979704, 0.0010266007,
2.2026992, 0.0013308445,
2.2069721, 0.0006192316,
2.2121036, 0.00082354015,
2.2161233, 0.0007730588,
2.221605, 0.00019840745,
2.225636, 0.0023293004,
2.2306921, 0.004365912,
2.2350764, 0.00011080271,
2.23906, 0.0007319295,
2.2445874, 0.0010426184,
2.2488701, 0.00021554298,
2.252726, 0.0016858482,
2.2580094, 8.855202e-5,
2.2626903, 0.0013004787,
2.2665455, 0.0009667369,
2.270725, 9.062248e-5,
2.2763422, 0.0009071785,
2.2806973, 0.0005701667,
2.2846274, 0.00024571718,
2.2888672, 1.5364249e-6,
2.294046, 0.0004471481,
2.2988343, 0.00022079815,
2.3030326, 0.0008238789,
2.3071442, 0.00032345217,
2.311369, 0.0001755459,
2.3144646, 0.0024921645,
2.3184953, 0.0037721691,
2.3251107, 0.0063720075,
2.3299482, 0.0042113382,
2.3341284, 0.002912252,
2.3383443, 0.002430738,
2.3426096, 0.0013430057,
2.3471172, 0.00035096152,
2.352391, 0.0011396648,
2.3569603, 0.00029271303,
2.3614113, 0.0007277788,
2.3658187, 0.00059272617,
2.369921, 0.00079037587,
2.3743627, 0.0012124205,
2.3786886, 0.0010421355,
2.382843, 0.00029148153,
2.3873858, 0.00044125615,
2.395538, 8.047018e-5,
2.4122808, 0.0007802432,
2.4301035, 0.0007661963,
2.446701, 0.0007814325,
2.4640598, 0.00050742395,
2.4809859, 0.0007413122,
2.4981644, 0.000344331,
2.5154073, 0.0002927552,
2.5328531, 0.00092804304,
2.55, 0.0010232236,
2.5675287, 0.00010223719,
2.5863562, 0.00085330266,
2.6045396, 0.0006660569,
2.622296, 0.00013875391,
2.640874, 8.1161044e-5,
2.6599243, 6.5890904e-6,
2.6786985, 0.00034727188,
2.6985261, 0.00096820254,
2.7185574, 0.00015481093,
2.7382233, 0.00022399462,
2.7572572, 0.00083555584,
2.778456, 0.000777831,
2.7988956, 0.00050639326,
2.818783, 0.00032785317,
2.8399663, 0.00026198462,
2.8612952, 0.00015906905,
2.8828583, 5.292544e-5,
2.9042165, 0.00027238732,
2.9258637, 0.0005431048,
2.9468558, 0.00020475428,
2.9713595, 0.00039205884,
2.9934123, 0.00050620636,
3.016862, 3.3742035e-5,
3.0401704, 0.00038520098,
3.0634036, 0.00012219275,
3.086194, 0.00014006846,
3.1090953, 0.00019818194,
3.134054, 0.00065082323,
3.1590836, 0.00085006905,
3.1839526, 0.0012181168,
3.208549, 0.00010695493,
3.2347305, 0.0004337183,
3.2605724, 0.0004555738,
3.2863688, 0.0001564775,
3.3103085, 0.001061015,
3.3379087, 0.0009224286,
3.3676863, 0.00034813522,
3.39404, 0.00016026964,
3.4222896, 0.0005054815,
3.4493787, 0.00027289218,
3.4769533, 0.0005882145,
3.5089715, 0.0004252765,
3.5348322, 0.00017515253,
3.5644653, 0.00025357684,
3.5959058, 0.00010460547,
3.6269865, 3.715256e-5,
3.6578724, 0.000752608,
3.6888347, 0.00018229178,
3.7201645, 0.00054085586,
3.7519784, 0.0002529957,
3.7776573, 0.00019538714,
3.8176606, 0.0013536426,
3.804502, 0.00015611801,
3.8855093, 0.0034220754,
3.7867417, 1.2117483e-5,
3.9545164, 0.0034027628,
3.829023, 0.0015788511,
4.0208263, 0.001387768,
4.0235, 0.002306312,
4.084462, 0.00010158942,
4.132113, 0.00221029,
4.1397905, 0.00012426487,
4.208331, 0.00017192397,
4.2332153, 0.0007029955,
4.285504, 0.0002383556,
4.3256574, 0.0005757264,
4.3658137, 0.00033921335,
4.397272, 0.0005486405,
4.4449472, 0.0002975031,
4.4758725, 0.00046064047,
4.527385, 0.00010085987,
4.5752363, 0.0005298304,
4.6036634, 0.00013698648,
4.6602974, 0.0006944013,
4.700206, 0.00027901816,
4.749002, 0.00030234532,
4.793867, 2.7683245e-5,
4.8409, 0.0004884169,
4.8700514, 0.0005284376,
4.91144, 0.00063353643,
4.979189, 0.00032749193,
5.0324583, 0.00022322554,
5.0811453, 0.0006274147,
5.121639, 2.7287171e-5,
5.181512, 0.00048280862,
5.234883, 0.00010536883,
5.2844887, 0.00038959953,
5.306012, 0.0013693398,
5.2440753, 0.00031501666,
5.4352093, 0.0006389329,
5.4989696, 0.001130517,
5.555102, 3.553075e-5,
5.608051, 0.0001781675,
5.6568155, 0.0001615763,
5.7091155, 0.00019446101,
5.7841673, 0.0005193145,
5.8353558, 2.2892722e-5,
5.8880043, 0.0002339154,
5.952338, 0.00037553458,
6.0202627, 0.00040394816,
6.0797353, 0.00011069818,
6.141729, 0.0004637864,
6.1823697, 0.00024001583,
6.26893, 0.00045556575,
6.327263, 0.00082559325,
6.4021244, 0.00033477208,
6.460176, 0.0004466801,
6.510149, 0.00072372745,
6.597609, 0.00045172148,
6.6634955, 0.00046068107,
6.7315917, 0.00047579032,
6.7952213, 0.0013819091,
6.4332876, 0.001205655,
6.2735643, 0.0030985845,
6.170246, 0.0016506047,
6.0896893, 0.00023112664,
6.0237412, 0.0011075229,
5.9689517, 0.0023953593,
5.9237943, 0.0023821187,
5.887407, 0.0011016907,
5.8594627, 0.0001610234,
5.839908, 0.0014115295,
5.8473096, 0.002651325,
5.8928227, 0.0018723477,
5.9299073, 0.0005979968,
5.958407, 0.00066303666,
5.9779134, 0.0018980587,
5.9880505, 0.0025027264,
5.9874024, 0.0012984043,
6.051463, 0.00018705045,
6.142499, 0.0009459856,
6.256518, 0.0017134723,
6.3944736, 0.0024162272,
6.5597754, 0.0025769721,
6.752534, 0.0023238587,
6.973264, 0.0012774728,
7.3902698, 0.00059283787,
7.6945596, 2.2968374e-5,
